text,label
I love this movie,positive
This product is terrible,negative
The service was really good,positive
I am very disappointed with this,negative
The food was amazing and tasty,positive
The experience was awful today,negative
I am happy with my purchase,positive
This is the worst thing I bought,negative
The staff were kind and helpful,positive
The app keeps crashing,negative
I enjoyed the concert a lot,positive
The game is boring and slow,negative
This laptop works great for me,positive
The battery life is really bad,negative
I would totally recommend this,positive
I regret buying this item,negative
The book was interesting and fun,positive
The shipping was slow and annoying,negative
The new update looks nice,positive
The design feels cheap,negative
I feel satisfied with the quality,positive
The sound quality is horrible,negative
The interface is simple and clean,positive
The customer support was useless,negative
I had a wonderful time there,positive
The room was dirty and smelly,negative
The movie ending was beautiful,positive
The plot was confusing and bad,negative
The teacher was very kind,positive
The lecture was hard to follow,negative
The coffee tastes really good,positive
The food here makes me sick,negative
My friends liked the party,positive
Everyone hated the new policy,negative
The packaging was neat and safe,positive
The box arrived damaged,negative
The view from the hotel was great,positive
The bed was uncomfortable,negative
My order came earlier than expected,positive
The order was missing two items,negative
This website is easy to use,positive
The login system keeps failing,negative
The tutorial was helpful,positive
The manual was unclear,negative
The colors of the product are pretty,positive
The material feels very cheap,negative
I laughed a lot while watching,positive
I was bored the entire time,negative
The sound is clear and loud,positive
The microphone picks up noise,negative
The keyboard feels nice to type on,positive
The keys are too stiff and noisy,negative
The camera takes sharp photos,positive
The camera is bad in low light,negative
The chair is comfortable for long hours,positive
The chair hurts my back,negative
The hotel staff smiled at us,positive
The receptionist was rude,negative
The mobile app is very responsive,positive
The website loads very slowly,negative
The course content is useful,positive
The homework instructions are confusing,negative
The movie soundtrack was fantastic,positive
The background music was annoying,negative
The game controls are smooth,positive
The controls feel clunky,negative
The restaurant atmosphere was cozy,positive
The place was too noisy,negative
The dessert was delicious,positive
The main dish was undercooked,negative
The teacher explained things clearly,positive
The explanation was not helpful,negative
The new feature is really convenient,positive
The new layout is hard to read,negative
I felt relaxed during the trip,positive
The travel was stressful,negative
The phone screen is bright and clear,positive
The screen is hard to see outside,negative
The earbuds fit well in my ears,positive
The earbuds keep falling out,negative
The class discussion was engaging,positive
The meeting was a waste of time,negative
The jacket keeps me warm,positive
The jacket zipper is broken,negative
The movie was better than expected,positive
The result was worse than I thought,negative
The puzzle was fun to solve,positive
The task was frustrating,negative
The interface looks modern,positive
The layout looks outdated,negative
The exam questions were fair,positive
The grading felt unfair,negative
The lecture videos are clear,positive
The video quality is poor,negative
The gift made me really happy,positive
The comment made me upset,negative
The notebook is very useful,positive
The pen stops working often,negative
The ride was comfortable and smooth,positive
The ride was rough and scary,negative
The movie made me smile,positive
The movie made me angry,negative
I like the simple design,positive
I dislike the overall style,negative
The sample code was easy to follow,positive
The code example was very confusing,negative
The project result looks good,positive
The project turned out badly,negative
